Name,Ticker,Earth Pillar,Twitter handle,Twitter Id
CAPITAL ONE FINANCIAL CORP,COF,65.45%,CapitalOne,364477412
CARDINAL HEALTH,CAH,61.80%,cardinalhealth,256225105
CARMAX,KMX,24.46%,carmax,7023592
CARNIVAL CORP,CCL,36.17%,carnivalcruise,6329632
CARRIER GLOBAL CORP,CARR,50.32%,carrier,2232071664
CATALENT,CTLT,38.55%,catalentPharma,120578352
CATERPILLAR,CAT,55.58%,caterpillarInc,15101714
CBOE GLOBAL MARKETS,CBOE,60.65%,cboe,16827489
CONSTELLATION BRANDS,STZ,8.25%,CBrands,8.98196E+17
CBRE GROUP,CBRE,58.58%,cbre,34675715
CDW CORP,CDW,4.73%,CDWCorp,462122963
CELANESE CORP,CE,36.99%,celanesecorp,19343329
CENTENE CORP,CNC,31.60%,centene,24017926
CERIDIAN HCM HOLDING,CDAY,1.26%,ceridian,78029386
CERNER CORP,CERN,21.58%,Cerner,34710922
CF INDUSTRIES HOLDINGS,CF,25.41%,CFIndustries,48437937
CHARLES SCHWAB CORP,SCHW,6.28%,charlesschwab,132703700
CHARTER COMMUNICATIONS,CHTR,3.52%,CharterNewsroom,121165704
CHEVRON CORP,CVX,34.54%,Chevron,21021891
CHIPOTLE MEXICAN GRILL,CMG,28.07%,ChipotleTweets,141341662
CH ROBINSON WORLDWIDE,CHRW,51.47%,CHRobinson,259440099
CHUBB LTD,CB,66.98%,ChubbInsurance,
CHURCH & DWIGHT CO,CHD,53.11%,ChurchDwightMex,1149306498
CIGNA CORP,CI,72.12%,cigna,37687077
CINTAS CORP,CTAS,41.33%,CintasCorp,17908262
CITIGROUP,C,63.01%,Citi,79320096
CITIZENS FINANCIAL GROUP,CFG,27.90%,CitizensBank,210953833
CITRIX SYSTEMS,CTXS,31.58%,Citrix,12492842
CME GROUP,CME,5.00%,CMEGroup,15935591
CENTERPOINT ENERGY,CNP,23.58%,CNPalerts,97480523
COCA-COLA CO,KO,49.49%,CocaCola,26787673
COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,63.98%,Cognizant,69687111
COLGATE-PALMOLIVE CO,CL,60.97%,colgate,21778607
COMERICA,CMA,66.57%,ComericaBank,634100844
CONAGRA BRANDS,CAG,49.93%,ConAgraFoods,4441317017
CONSOLIDATED EDISON,ED,28.42%,ConEdison,20262083
CONOCOPHILLIPS,COP,40.36%,conoco,15725217
CONSTELLATION ENERGY CORP,CEG,8.25%,ConstellationEG,35742491
COPART,CPRT,1.00%,CopartDirect,847432842
CORNING,GLW,10.00%,corninggorilla,201837925
CORTEVA,CTVA,39.50%,CortevaUS,65664531
COSTCO WHOLESALE CORP,COST,41.10%,Costco_USA,2252622168
COTERRA ENERGY,CTRA,3.10%,CoterraEnergy,317777055
CHARLES RIVER LABORATORIES INTERNATIONAL,CRL,36.76%,CRiverLabs,86455649
CROWN CASTLE INTERNATIONAL CORP,CCI,47.41%,CrownCastle,2314333092
NORWEGIAN CRUISE LINE HOLDINGS LTD,NCLH,19.26%,CruiseNorwegian,17045115
CSX CORP,CSX,39.37%,CSX,15724503
CUMMINS,CMI,54.38%,Cummins,87299367
CVS HEALTH CORP,CVS,66.20%,CVS_Extra,8.21033E+17
DARDEN RESTAURANTS,DRI,5.18%,DardenGroup,1079971364
DAVITA,DVA,50.48%,DaVita,28676469
DELTA AIR LINES,DAL,23.86%,Delta,5920532
DENTSPLY SIRONA,XRAY,54.05%,DentsplySirona,132189140
DEVON ENERGY CORP,DVN,30.13%,DevonCareers,2165208194
DIGITAL REALTY TRUST,DLR,40.92%,digitalrealty,40245544
DISCOVER FINANCIAL SERVICES,DFS,5.49%,Discover,16147150
DISH NETWORK CORP,DISH,1.90%,Dish,17170147
WALT DISNEY CO,DIS,60.89%,disney,67418441
DOLLAR GENERAL CORP,DG,1.06%,DollarGeneral,84087294
DOLLAR TREE,DLTR,36.36%,dollartree,94558801
